time,latitude,longitude
2021-11-25 10:57:29.1520,49.281526223041546,-122.79748550619995
2021-11-25 10:57:30.1550,49.2815245228015,-122.79749029426902
2021-11-25 10:57:31.1560,49.281523974455254,-122.79749544054873
2021-11-25 10:57:32.1550,49.28152169004255,-122.79749335456582
2021-11-25 10:57:33.1580,49.28152233227306,-122.79749174980786
2021-11-25 10:57:34.1410,49.28152824095113,-122.79748298728525
2021-11-25 10:57:35.1660,49.28152942580662,-122.79748191104811
2021-11-25 10:57:36.1530,49.28153226034064,-122.7974788338222
2021-11-25 10:57:37.1600,49.281540130936385,-122.79747016232302
2021-11-25 10:57:38.1290,49.28154548632457,-122.79746179328407
2021-11-25 10:57:39.1540,49.281552959225685,-122.79744980880822
2021-11-25 10:57:40.1820,49.28155761643597,-122.797443867455
2021-11-25 10:57:41.1860,49.28156208446591,-122.79744122476845
2021-11-25 10:57:42.1930,49.281566823912115,-122.79742512157694
2021-11-25 10:57:43.1860,49.28156846639663,-122.79740601246877
2021-11-25 10:57:44.1850,49.281563629799805,-122.79738784144398
2021-11-25 10:57:45.1940,49.28156373795379,-122.79737137854468
2021-11-25 10:57:46.1930,49.28156465467362,-122.79735768622746
2021-11-25 10:57:47.1850,49.28156288629819,-122.7973391069169
2021-11-25 10:57:48.1860,49.281559154836316,-122.79732892892493
2021-11-25 10:57:49.1920,49.281555927812285,-122.79732791267126
2021-11-25 10:57:50.1850,49.2815533322238,-122.79732399740165
2021-11-25 10:57:51.1920,49.28154816369884,-122.79732656216788
2021-11-25 10:57:52.1920,49.281537375689105,-122.79733665779278
2021-11-25 10:57:53.1940,49.28152753946715,-122.7973342257111
2021-11-25 10:57:54.1860,49.28151513182828,-122.79732373366141
2021-11-25 10:57:55.1840,49.28149767731119,-122.79729685498828
2021-11-25 10:57:56.1930,49.281484497221236,-122.79726420368975
2021-11-25 10:57:57.1750,49.28147625771326,-122.79723839848465
2021-11-25 10:57:58.1960,49.281473848411395,-122.7972022481825
2021-11-25 10:57:59.1830,49.28147581950143,-122.79716905602638
2021-11-25 10:58:00.1890,49.28147753296518,-122.79713996316202
2021-11-25 10:58:01.1940,49.28148642975819,-122.79711735815701
2021-11-25 10:58:02.1840,49.28149405280397,-122.79708583867182
2021-11-25 10:58:03.1530,49.28149978584463,-122.79704261233897
2021-11-25 10:58:04.1940,49.28152619910384,-122.79702810855969
2021-11-25 10:58:05.1630,49.281554503774245,-122.79704333910706
2021-11-25 10:58:06.1810,49.28159040329421,-122.79705507375988
2021-11-25 10:58:07.1880,49.281622953606394,-122.79705947716555
2021-11-25 10:58:08.1910,49.28164571970568,-122.79705758728649
2021-11-25 10:58:09.1810,49.2816571057265,-122.79705526523315
2021-11-25 10:58:10.1940,49.28166941514226,-122.79704811153486
2021-11-25 10:58:11.1600,49.28168472549386,-122.79703614220729
2021-11-25 10:58:12.1960,49.28169400905702,-122.79702703565542
2021-11-25 10:58:13.1920,49.281707137490145,-122.79702084220594
2021-11-25 10:58:14.1950,49.28170657977289,-122.79701495288025
2021-11-25 10:58:15.1850,49.281712270989466,-122.79701530863116
2021-11-25 10:58:16.1860,49.28171508347514,-122.79701639109611
2021-11-25 10:58:17.2030,49.28172161939571,-122.79701687269446
2021-11-25 10:58:18.1960,49.281725646477334,-122.79701527021156
2021-11-25 10:58:19.1910,49.28173120319047,-122.79701259679506
2021-11-25 10:58:20.1920,49.281748789279206,-122.79701939954964
2021-11-25 10:58:21.1840,49.28176586978484,-122.79703807900135
2021-11-25 10:58:22.1930,49.2817873549739,-122.79707867314448
2021-11-25 10:58:23.1920,49.281798655284696,-122.79714823401298
2021-11-25 10:58:24.1960,49.281807470866205,-122.79724320848553
2021-11-25 10:58:25.3130,49.28180988657198,-122.79734319859374
2021-11-25 10:58:26.2000,49.28180277833175,-122.79743983048398
2021-11-25 10:58:27.2150,49.28179643759982,-122.79754152028588
2021-11-25 10:58:28.1910,49.28178955004991,-122.79764937121807
2021-11-25 10:58:29.1960,49.28178942153752,-122.79775719822682
2021-11-25 10:58:30.1930,49.28178970515377,-122.79787113769878
2021-11-25 10:58:31.1980,49.281788965075684,-122.79799348123987
2021-11-25 10:58:32.1940,49.28178899213822,-122.79811650196442
2021-11-25 10:58:33.2050,49.28179092984457,-122.79823118013594
2021-11-25 10:58:34.2000,49.28178739996662,-122.79834323384831
2021-11-25 10:58:35.1920,49.281799308120576,-122.79845523028037
2021-11-25 10:58:36.1980,49.28180285347468,-122.79855437961602
2021-11-25 10:58:37.1950,49.28179354853972,-122.79864193768546
2021-11-25 10:58:38.1980,49.28179412836967,-122.79871398420376
2021-11-25 10:58:39.1630,49.28179489964823,-122.79877363004921
2021-11-25 10:58:40.1710,49.281835890069466,-122.79882444701659
2021-11-25 10:58:41.1980,49.281870875113505,-122.79883582891853
2021-11-25 10:58:42.1930,49.28191369103701,-122.7988222237967
2021-11-25 10:58:43.1910,49.281958448874754,-122.79882264485744
2021-11-25 10:58:44.1880,49.28200444599998,-122.79882882352537
2021-11-25 10:58:45.1900,49.28205785521924,-122.79883506122049
2021-11-25 10:58:46.1920,49.28212111965043,-122.79883308562405
2021-11-25 10:58:47.2040,49.28219046468986,-122.7988338884455
2021-11-25 10:58:48.1810,49.2822572637123,-122.79883295295737
2021-11-25 10:58:49.1930,49.282321587084944,-122.79883174835062
2021-11-25 10:58:50.2010,49.28238998536853,-122.79883533165126
2021-11-25 10:58:51.1950,49.28246185917643,-122.79881152085697
2021-11-25 10:58:52.1890,49.28253654450053,-122.79881578630703
